date,address,species,block,street,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,week,day,day_of_week
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,2,0,2007,6,23,5,1
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,1,0,2007,6,23,5,1
2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,1,0,2007,6,23,5,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,1,0,2007,6,23,5,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,1,0,2007,6,23,5,1
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,2,0,2007,6,23,5,1
2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,2,0,2007,6,23,5,1
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,1,0,2007,6,23,5,1
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,1,0,2007,6,23,5,1
2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,3,0,2007,6,23,5,1
2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,4,0,2007,6,23,5,1
2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,2,0,2007,6,23,5,1
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,1,0,2007,6,23,5,1
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,1,0,2007,6,23,5,1
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,1,0,2007,6,23,5,1
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,2,0,2007,6,23,5,1
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,9,0,2007,6,23,5,1
2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,3,0,2007,6,23,5,1
2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,1,0,2007,6,23,5,1
2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,2,0,2007,6,23,5,1
2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,1,0,2007,6,23,5,1
2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,1,0,2007,6,23,5,1
2007-06-05,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,1,0,2007,6,23,5,1
2007-06-05,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,1,0,2007,6,23,5,1
2007-06-05,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,2,0,2007,6,23,5,1
2007-06-05,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,41.801498,-87.763416,1,0,2007,6,23,5,1
2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,3,0,2007,6,23,5,1
2007-06-05,"South Vincennes Avenue, Chicago, IL, USA",CULEX RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,1,0,2007,6,23,5,1
2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,1,0,2007,6,23,5,1
2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,7,0,2007,6,23,5,1
2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,1,0,2007,6,23,5,1
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,2,0,2007,6,23,5,1
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,4,0,2007,6,23,5,1
2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,1,0,2007,6,23,5,1
2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,1,0,2007,6,23,5,1
2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,2,0,2007,6,23,5,1
2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,1,0,2007,6,23,5,1
2007-06-05,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,3,0,2007,6,23,5,1
2007-06-05,"Chicago, IL, USA",CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,3,0,2007,6,23,5,1
2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,1,0,2007,6,23,5,1
2007-06-05,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,2,0,2007,6,23,5,1
2007-06-05,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,1,0,2007,6,23,5,1
2007-06-05,"1500 West Granville Avenue, Chicago, IL 60660, USA",CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,41.994469,-87.667736,1,0,2007,6,23,5,1
2007-06-05,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,2,0,2007,6,23,5,1
2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,1,0,2007,6,23,5,1
2007-06-05,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,10,0,2007,6,23,5,1
2007-06-05,"2500 South Millard Avenue, Chicago, IL 60623, USA",CULEX RESTUANS,25, S MILLARD AVE,T152,41.846075,-87.716277,1,0,2007,6,23,5,1
2007-06-05,"2100 North Lawler Avenue, Chicago, IL 60639, USA",CULEX RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,1,0,2007,6,23,5,1
2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,3,0,2007,6,23,5,1
2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,8,0,2007,6,23,5,1
2007-06-05,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,1,0,2007,6,23,5,1
2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,2,0,2007,6,23,5,1
2007-06-05,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,1,0,2007,6,23,5,1
2007-06-05,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,1,0,2007,6,23,5,1
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,1,0,2007,6,26,26,1
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,4,0,2007,6,26,26,1
2007-06-26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX SALINARIUS,41, N OAK PARK AVE,T002,41.95469,-87.800991,1,0,2007,6,26,26,1
2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,1,0,2007,6,26,26,1
2007-06-26,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,4,0,2007,6,26,26,1
2007-06-26,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,1,0,2007,6,26,26,1
2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,1,0,2007,6,26,26,1
2007-06-26,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,1,0,2007,6,26,26,1
2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,1,0,2007,6,26,26,1
2007-06-26,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,6,0,2007,6,26,26,1
2007-06-26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,2,0,2007,6,26,26,1
2007-06-26,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,1,0,2007,6,26,26,1
2007-06-26,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,1,0,2007,6,26,26,1
2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,1,0,2007,6,26,26,1
2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,1,0,2007,6,26,26,1
2007-06-26,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,2,0,2007,6,26,26,1
2007-06-26,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,5,0,2007,6,26,26,1
2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,1,0,2007,6,26,26,1
2007-06-26,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,1,0,2007,6,26,26,1
2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,1,0,2007,6,26,26,1
2007-06-26,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,1,0,2007,6,26,26,1
2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,2,0,2007,6,26,26,1
2007-06-26,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,2,0,2007,6,26,26,1
2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,2,0,2007,6,26,26,1
2007-06-26,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,4,0,2007,6,26,26,1
2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,2,0,2007,6,26,26,1
2007-06-26,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,2,0,2007,6,26,26,1
2007-06-26,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,1,0,2007,6,26,26,1
2007-06-26,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,1,0,2007,6,26,26,1
2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,1,0,2007,6,26,26,1
2007-06-26,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,9,0,2007,6,26,26,1
2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,2,0,2007,6,26,26,1
2007-06-26,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,3,0,2007,6,26,26,1
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,10,0,2007,6,26,26,1
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,19,0,2007,6,26,26,1
2007-06-26,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS,11, S ASHLAND AVE,T090,41.868077,-87.666901,1,0,2007,6,26,26,1
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,20,0,2007,6,26,26,1
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,25,0,2007,6,26,26,1
2007-06-26,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,6,0,2007,6,26,26,1
2007-06-26,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,1,0,2007,6,26,26,1
2007-06-26,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,3,0,2007,6,26,26,1
2007-06-26,"4000 North Austin Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,4,0,2007,6,26,26,1
2007-06-26,"Chicago, IL, USA",CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,1,0,2007,6,26,26,1
2007-06-26,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,6,0,2007,6,26,26,1
2007-06-26,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,1,0,2007,6,26,26,1
2007-06-26,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,2,0,2007,6,26,26,1
2007-06-26,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,3,0,2007,6,26,26,1
2007-06-26,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,6,0,2007,6,26,26,1
2007-06-26,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,1,0,2007,6,26,26,1
2007-06-26,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,4,0,2007,6,26,26,1
2007-06-26,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,1,0,2007,6,26,26,1
2007-06-26,"4000 North Tripp Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,40, N TRIPP AVE,T001,41.953705,-87.733974,1,0,2007,6,26,26,1
2007-06-26,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,46, N MILWAUKEE AVE,T003,41.964242,-87.757639,2,0,2007,6,26,26,1
2007-06-26,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,41.990284,-87.797127,1,0,2007,6,26,26,1
2007-06-26,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,60, N AVONDALE AVE,T006,41.990284,-87.797127,1,0,2007,6,26,26,1
2007-06-26,"7000 North Moselle Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,70, N MOSELL AVE,T008,42.008314,-87.777921,2,0,2007,6,26,26,1
2007-06-26,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,41.991429,-87.747113,2,0,2007,6,26,26,1
2007-06-26,"2700 South Western Avenue, Chicago, IL 60608, USA",CULEX RESTUANS,27, S WESTERN AVE,T034,41.843811,-87.686763,1,0,2007,6,26,26,1
2007-06-26,"6800 West Belden Avenue, Chicago, IL 60707, USA",CULEX RESTUANS,68, W BELDEN AVE,T037,41.921177,-87.79518,1,0,2007,6,26,26,1
2007-06-26,"2100 South Hamlin Avenue, Chicago, IL 60623, USA",CULEX PIPIENS/RESTUANS,21, S HAMLIN AVE,T040,41.852652,-87.719887,5,0,2007,6,26,26,1
2007-06-26,"2100 South Hamlin Avenue, Chicago, IL 60623, USA",CULEX RESTUANS,21, S HAMLIN AVE,T040,41.852652,-87.719887,1,0,2007,6,26,26,1
2007-06-26,"3000 West 18th Street, Chicago, IL 60608, USA",CULEX RESTUANS,30, W 18TH ST,T043,41.857402,-87.694991,1,0,2007,6,26,26,1
2007-06-26,"1100 South California Avenue, Chicago, IL 60612, USA",CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,41.868142,-87.696269,1,0,2007,6,26,26,1
2007-06-26,"1100 South California Avenue, Chicago, IL 60612, USA",CULEX RESTUANS,11, S CALIFORNIA,T047,41.868142,-87.696269,1,0,2007,6,26,26,1
2007-06-26,"2500 South Throop Street, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,25, S THROOP,T051,41.846283,-87.656913,1,0,2007,6,26,26,1
2007-06-26,"1000 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,10, W 95TH ST,T085,41.721474,-87.648064,2,0,2007,6,26,26,1
2007-06-26,"1000 South California Avenue, Chicago, IL 60612, USA",CULEX PIPIENS,10, S CALIFORNIA AVE,T088,41.869107,-87.696293,1,0,2007,6,26,26,1
2007-06-26,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,41.719059,-87.675088,3,0,2007,6,26,26,1
2007-06-26,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX RESTUANS,96, S HOYNE AVE,T161,41.719059,-87.675088,5,0,2007,6,26,26,1
2007-06-26,"1800 West Leland Avenue, Chicago, IL 60640, USA",CULEX RESTUANS,18, W LELAND AVE,T219,41.966987,-87.674677,1,0,2007,6,26,26,1
2007-06-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,2,0,2007,6,26,29,4
